gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849878664678130765e+06,4.656272950368083082e+06,3.287191196060189977e+06,-4.780272846661724806e+00,1.334220266876679606e+00,-3.724754648627027348e-02
-2.849886754434704315e+06,4.656272504107182845e+06,3.287188416524047498e+06,-4.799370758884263566e+00,1.372629411967503765e+00,5.711134467784759888e-02
-2.849875440885083750e+06,4.656263923008275218e+06,3.287171064608650748e+06,-4.844055581873816685e+00,1.308676498699127055e+00,-3.870495237799882748e-02
-2.849884323845827021e+06,4.656269603458665311e+06,3.287184277085285168e+06,-4.792942769188183405e+00,1.331005336443416009e+00,-4.035760594285106584e-02
-2.849883323918069713e+06,4.656273765032955445e+06,3.287189639499572571e+06,-4.898297763958234796e+00,1.282145073882028807e+00,3.432458527986505942e-02
-2.849873488018027972e+06,4.656272057617127895e+06,3.287182649520280771e+06,-4.861257552738196708e+00,1.369514163630952464e+00,-1.127316084284639766e-02
-2.849878681564772502e+06,4.656267644912959076e+06,3.287187046762065496e+06,-4.819135033773426890e+00,1.277030629722018862e+00,-6.687261471525937639e-02
-2.849877444338287227e+06,4.656263933260300197e+06,3.287194838409231044e+06,-4.818203002677715396e+00,1.346452220935190347e+00,-7.535845314786050742e-03
-2.849876480698287953e+06,4.656272506681697443e+06,3.287191410887071863e+06,-4.917203425622085788e+00,1.227010898248791504e+00,-5.097358676923472581e-02
-2.849873963270896580e+06,4.656270118114728481e+06,3.287192383920722641e+06,-4.867423109429749317e+00,1.249823985377859437e+00,4.347227219217886240e-02
-2.849880607340300921e+06,4.656263127045793459e+06,3.287192667240678333e+06,-4.833368380599988967e+00,1.347053006107807871e+00,8.007273524364438844e-02
-2.849876227752698585e+06,4.656269363896112889e+06,3.287187710767746437e+06,-4.776669870284497854e+00,1.322975053154623160e+00,-1.037286175170107870e-02
-2.849875496754739899e+06,4.656264820789286867e+06,3.287177797680266201e+06,-4.911227204806484892e+00,1.315702326918712251e+00,-4.785537363542237410e-02
-2.849886392900938634e+06,4.656277520964470692e+06,3.287180288126444910e+06,-4.822922847788775336e+00,1.207086961690272853e+00,-2.512485059227053882e-02
-2.849880289619657677e+06,4.656271781165741384e+06,3.287199392795891967e+06,-4.784803811150402986e+00,1.123663751282100609e+00,-3.623039733145954483e-02
