ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
3.220000000000003837e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.230000000000003979e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.240000000000004121e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000004263e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.260000000000003695e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.270000000000003837e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.280000000000003979e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.290000000000004121e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000004263e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.310000000000003695e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.320000000000003837e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.330000000000003979e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.340000000000004121e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.350000000000004263e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.360000000000004405e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.370000000000003837e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.380000000000003979e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.390000000000004121e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000004263e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.410000000000004405e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.420000000000003837e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.430000000000003979e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.440000000000004121e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.450000000000004263e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.460000000000004405e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.470000000000004547e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.480000000000003979e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.490000000000004121e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000004263e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.510000000000004405e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.520000000000004547e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.530000000000004690e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.540000000000004121e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.550000000000004263e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.560000000000004405e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.570000000000004547e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.580000000000004690e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.590000000000004121e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000004263e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.610000000000004405e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000004547e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.630000000000004690e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.640000000000004832e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.650000000000004263e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.660000000000004405e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.670000000000004547e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.680000000000004690e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.690000000000004832e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000004263e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.710000000000004405e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.720000000000004547e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.730000000000004690e+01,0.000000000000000000e+00,0.000000000000000000e+00
